/Applications/Rider.app/Contents/lib/ReSharperHost/macos-x64/dotnet/dotnet exec /Applications/Rider.app/Contents/lib/ReSharperHost/JetBrains.Debugger.Worker.exe --mode=client --frontend-port=62193 --plugins=/Applications/Rider.app/Contents/plugins/rider-unity/dotnetDebuggerWorker
log4net: Configuration update mode [Merge].
log4net: Logger [root] Level string is [DEBUG].
log4net: Logger [root] level set to [name="DEBUG",value=30000].
log4net: Loading Appender [ConsoleAppender] type: [log4net.Appender.ConsoleAppender]
log4net: Setting Property [Threshold] to Level value [DEBUG]
log4net: Converter [message] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [newline] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Setting Property [ConversionPattern] to String value [%d [%t] %-5p %c - %m%n]
log4net: Converter [d] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [ [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [t] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [] ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [p] Option [] Format [min=5,max=2147483647,leftAlign=True]
log4net: Converter [literal] Option [ ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [c] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [literal] Option [ - ] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [m] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Converter [n] Option [] Format [min=-1,max=2147483647,leftAlign=False]
log4net: Setting Property [Layout] to object [log4net.Layout.PatternLayout]
log4net: Created Appender [ConsoleAppender]
log4net: Adding appender named [ConsoleAppender] to logger [root].
log4net: Hierarchy Threshold []
2022-02-08 15:30:49,379 [6] INFO  producer.Program - rdkafka#producer-1-[thrd::0/internal]: :0/internal: Enter main broker thread
2022-02-08 15:30:49,446 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: localhost:19092/bootstrap: Selected for cluster connection: bootstrap servers added (broker has 0 connection attempt(s))
2022-02-08 15:30:49,446 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: librdkafka v1.8.2 (0x10802ff) rdkafka#producer-1 initialized (builtin.features gzip,snappy,ssl,sasl,regex,lz4,sasl_gssapi,sasl_plain,sasl_scram,plugins,zstd,sasl_oauthbearer, STRIP STATIC_LINKING CC GXX PKGCONFIG OSXLD LIBDL PLUGINS STATIC_LIB_zlib ZLIB STATIC_LIB_libcrypto STATIC_LIB_libssl SSL SASL_CYRUS STATIC_LIB_libzstd ZSTD HDRHISTOGRAM SYSLOG SNAPPY SOCKEM SASL_SCRAM SASL_OAUTHBEARER CRC32C_HW, debug 0x80c6)
2022-02-08 15:30:49,446 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Received CONNECT op
2022-02-08 15:30:49,446 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Broker changed state INIT -> TRY_CONNECT
2022-02-08 15:30:49,446 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: broker in state TRY_CONNECT connecting
2022-02-08 15:30:49,446 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Broker changed state TRY_CONNECT -> CONNECT
2022-02-08 15:30:49,446 [11] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19094/bootstrap]: localhost:19094/bootstrap: Enter main broker thread
2022-02-08 15:30:49,449 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Connecting to ipv6#[::1]:19092 (plaintext) with socket 83
2022-02-08 15:30:49,449 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Connected to ipv6#[::1]:19092
2022-02-08 15:30:49,453 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Connected (#1)
2022-02-08 15:30:49,453 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Updated enabled protocol features +ApiVersion to ApiVersion
2022-02-08 15:30:49,453 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Broker changed state CONNECT -> APIVERSION_QUERY
2022-02-08 15:30:49,454 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Sent ApiVersionRequest (v3, 52 bytes @ 0, CorrId 1)
2022-02-08 15:30:49,457 [1] INFO  producer.Program - Producer initialize transaction mode in pending
2022-02-08 15:30:49,458 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: Transactional API called: init_transactions (in txn state Init, idemp state Init)
2022-02-08 15:30:49,458 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Transaction state change Init -> WaitPID
2022-02-08 15:30:49,458 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change Init -> RequestPID
2022-02-08 15:30:49,458 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Starting PID FSM timer (fire immediately): Starting idempotent producer
2022-02-08 15:30:49,459 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Not selecting any broker for cluster connection: still suppressed for 36ms: acquire ProducerID
2022-02-08 15:30:49,459 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: No brokers available for Transactions (4 broker(s) known)
2022-02-08 15:30:49,459 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Unable to query for transaction coordinator: Acquire PID: No brokers available for Transactions (4 broker(s) known)
2022-02-08 15:30:49,460 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Received ApiVersionResponse (v3, 431 bytes, CorrId 1, rtt 6.25ms)
2022-02-08 15:30:49,460 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Updated enabled protocol features to MsgVer1,ApiVersion,BrokerBalancedConsumer,ThrottleTime,Sasl,SaslHandshake,BrokerGroupCoordinator,LZ4,OffsetTime,MsgVer2,IdempotentProducer,ZSTD,SaslAuthReq
2022-02-08 15:30:49,460 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Broker changed state APIVERSION_QUERY -> UP
2022-02-08 15:30:49,460 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Sent MetadataRequest (v4, 26 bytes @ 0, CorrId 2)
2022-02-08 15:30:49,465 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: Received MetadataResponse (v4, 103 bytes, CorrId 2, rtt 4.49ms)
2022-02-08 15:30:49,465 [8] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19093/bootstrap]: localhost:19093/bootstrap: NodeId changed from -1 to 2
2022-02-08 15:30:49,465 [8] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19093/bootstrap]: localhost:19093/2: Name changed from localhost:19093/bootstrap to localhost:19093/2
2022-02-08 15:30:49,465 [8] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19093/bootstrap]: localhost:19093/2: Mapped 0 partition(s) to broker
2022-02-08 15:30:49,466 [11] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19094/bootstrap]: localhost:19094/bootstrap: NodeId changed from -1 to 3
2022-02-08 15:30:49,466 [11] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19094/bootstrap]: localhost:19094/3: Name changed from localhost:19094/bootstrap to localhost:19094/3
2022-02-08 15:30:49,466 [11] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19094/bootstrap]: localhost:19094/3: Mapped 0 partition(s) to broker
2022-02-08 15:30:49,466 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/bootstrap: NodeId changed from -1 to 1
2022-02-08 15:30:49,466 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Name changed from localhost:19092/bootstrap to localhost:19092/1
2022-02-08 15:30:49,466 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Mapped 0 partition(s) to broker
2022-02-08 15:30:49,466 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Broker changed state UP -> UPDATE
2022-02-08 15:30:49,466 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Broker changed state UPDATE -> UP
2022-02-08 15:30:49,467 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: localhost:19092/1: ClusterId update "" -> "FDoidxZTRNGeJgLkYPzF_A"
2022-02-08 15:30:49,467 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: localhost:19092/1: ControllerId update -1 -> 2
2022-02-08 15:30:49,467 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Acquire PID
2022-02-08 15:30:49,467 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 3)
2022-02-08 15:30:49,631 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 3, rtt 163.30ms)
2022-02-08 15:30:49,631 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:49,963 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:49,963 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 4)
2022-02-08 15:30:49,984 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 4, rtt 20.74ms)
2022-02-08 15:30:49,985 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:50,448 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker in state TRY_CONNECT connecting
2022-02-08 15:30:50,449 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker has no address yet: postponing connect
2022-02-08 15:30:50,489 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:50,489 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 5)
2022-02-08 15:30:50,522 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 5, rtt 32.40ms)
2022-02-08 15:30:50,522 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:51,025 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:51,025 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 6)
2022-02-08 15:30:51,051 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 6, rtt 25.90ms)
2022-02-08 15:30:51,052 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:51,451 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker in state TRY_CONNECT connecting
2022-02-08 15:30:51,451 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker has no address yet: postponing connect
2022-02-08 15:30:51,555 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:51,555 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 7)
2022-02-08 15:30:51,581 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 7, rtt 26.13ms)
2022-02-08 15:30:51,581 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:52,081 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:52,082 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 8)
2022-02-08 15:30:52,122 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 51 bytes, CorrId 8, rtt 39.87ms)
2022-02-08 15:30:52,122 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to find transaction coordinator: COORDINATOR_NOT_AVAILABLE: The coordinator is not available.
2022-02-08 15:30:52,455 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker in state TRY_CONNECT connecting
2022-02-08 15:30:52,456 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: broker has no address yet: postponing connect
2022-02-08 15:30:52,625 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Querying for transaction coordinator: Coordinator query timer
2022-02-08 15:30:52,626 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent FindCoordinatorRequest (v2, 38 bytes @ 0, CorrId 9)
2022-02-08 15:30:52,873 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received FindCoordinatorResponse (v2, 31 bytes, CorrId 9, rtt 247.24ms)
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: localhost:19092/1: FindCoordinator response: Transaction coordinator is broker 3 (localhost:19094)
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Transaction coordinator changed from (none) -> localhost:19094/3: FindCoordinator response
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator: Broker nodename changed from "" to "localhost:19094"
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator: Broker nodeid changed from -1 to 3
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change RequestPID -> WaitTransport
2022-02-08 15:30:52,873 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Starting PID FSM timer: No broker available
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: localhost:19094: Closing connection due to nodename change (after 3428ms in state TRY_CONNECT) (_TRANSPORT)
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state TRY_CONNECT -> DOWN
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state DOWN -> INIT
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state INIT -> TRY_CONNECT
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: broker in state TRY_CONNECT connecting
2022-02-08 15:30:52,873 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state TRY_CONNECT -> CONNECT
2022-02-08 15:30:52,874 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Connecting to ipv4#127.0.0.1:19094 (plaintext) with socket 84
2022-02-08 15:30:52,874 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Connected to ipv4#127.0.0.1:19094
2022-02-08 15:30:52,874 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Connected (#1)
2022-02-08 15:30:52,874 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Updated enabled protocol features +ApiVersion to ApiVersion
2022-02-08 15:30:52,874 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state CONNECT -> APIVERSION_QUERY
2022-02-08 15:30:52,875 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Sent ApiVersionRequest (v3, 52 bytes @ 0, CorrId 1)
2022-02-08 15:30:53,019 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Received ApiVersionResponse (v3, 431 bytes, CorrId 1, rtt 144.54ms)
2022-02-08 15:30:53,019 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Updated enabled protocol features to MsgVer1,ApiVersion,BrokerBalancedConsumer,ThrottleTime,Sasl,SaslHandshake,BrokerGroupCoordinator,LZ4,OffsetTime,MsgVer2,IdempotentProducer,ZSTD,SaslAuthReq
2022-02-08 15:30:53,019 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator: Broker changed state APIVERSION_QUERY -> UP
2022-02-08 15:30:53,019 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator/3: Transaction coordinator is now up
2022-02-08 15:30:53,019 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator/3: Acquiring ProducerId
2022-02-08 15:30:53,019 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Sent MetadataRequest (v4, 26 bytes @ 0, CorrId 2)
2022-02-08 15:30:53,019 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change WaitTransport -> WaitPID
2022-02-08 15:30:53,019 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Sent InitProducerIdRequest (v4, 52 bytes @ 0, CorrId 3)
2022-02-08 15:30:53,033 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Received MetadataResponse (v4, 103 bytes, CorrId 2, rtt 13.56ms)
2022-02-08 15:30:53,109 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Received InitProducerIdResponse (v4, 18 bytes, CorrId 3, rtt 89.74ms)
2022-02-08 15:30:53,109 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator/3: Failed to acquire PID: Broker: Coordinator load in progress
2022-02-08 15:30:53,109 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change WaitPID -> RequestPID
2022-02-08 15:30:53,109 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Failed to acquire transactional PID from broker TxnCoordinator/3: Broker: Coordinator load in progress: retrying
2022-02-08 15:30:53,109 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Starting PID FSM timer: Failed to acquire transactional PID from broker TxnCoordinator/3: Broker: Coordinator load in progress
2022-02-08 15:30:53,610 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change RequestPID -> WaitTransport
2022-02-08 15:30:53,610 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: TxnCoordinator/3: Acquiring ProducerId
2022-02-08 15:30:53,610 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change WaitTransport -> WaitPID
2022-02-08 15:30:53,610 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Sent InitProducerIdRequest (v4, 52 bytes @ 0, CorrId 4)
2022-02-08 15:30:53,780 [10] INFO  producer.Program - rdkafka#producer-1-[thrd:TxnCoordinator]: TxnCoordinator/3: Received InitProducerIdResponse (v4, 18 bytes, CorrId 4, rtt 169.26ms)
2022-02-08 15:30:53,780 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Acquired PID{Id:0,Epoch:0}
2022-02-08 15:30:53,780 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Idempotent producer state change WaitPID -> Assigned
2022-02-08 15:30:53,780 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Transaction state change WaitPID -> ReadyNotAcked
2022-02-08 15:30:53,780 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: Transactional API called: init_transactions (in txn state ReadyNotAcked, idemp state Assigned)
2022-02-08 15:30:53,780 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Transaction state change ReadyNotAcked -> Ready
2022-02-08 15:30:53,781 [1] INFO  producer.Program - Producer initialized transaction mode
2022-02-08 15:30:53,781 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Transaction state change Ready -> InTransaction
2022-02-08 15:30:53,782 [1] INFO  producer.Program - Producer began one transaction
2022-02-08 15:30:53,791 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: New local topic: topic
2022-02-08 15:30:53,791 [1] INFO  producer.Program - rdkafka#producer-1-[thrd:app]: NEW topic [-1] 0x7faecdc2fa00 refcnt 0x7faecdc2fa90 (at rd_kafka_topic_new0:465)
2022-02-08 15:30:54,455 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Topic topic metadata information unknown
2022-02-08 15:30:54,455 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Topic topic partition count is zero: should refresh metadata
2022-02-08 15:30:54,455 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Sent MetadataRequest (v4, 33 bytes @ 0, CorrId 10)
2022-02-08 15:30:54,461 [7] INFO  producer.Program - rdkafka#producer-1-[thrd:localhost:19092/bootstrap]: localhost:19092/1: Received MetadataResponse (v4, 285 bytes, CorrId 10, rtt 5.24ms)
2022-02-08 15:30:54,461 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Topic topic changed state unknown -> exists
2022-02-08 15:30:54,461 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: Topic topic partition count changed from 0 to 4
2022-02-08 15:30:54,461 [9] INFO  producer.Program - rdkafka#producer-1-[thrd:main]: NEW topic [0] 0x7faed0b3f930 refcnt 0x7faed0b3f9c0 (at rd_kafka_topic_partition_cnt_update:798)
